,accuracy,precision,recall,f1,AUC,confusion_matrix,10 fold infos,most important 10 features
XGB_1m_temp,0.5555555555555555,0.5,0.27777777777777773,0.35555555555555557,0.5,"[0, 0, 3, 4]","{1: [0.6666666666666666, 0.3333333333333333, 0.5, 0.4, 0.5], 2: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5]}","[('Exercise_3.0', 0.0), ('Exercise_4.0', 0.0), ('Exercise_5.0', 0.0), ('Alcoh_percent_2.0', 0.0), ('Alcoh_percent_3.0', 0.0), ('Alcoh_percent_4.0', 0.0), ('Alcoh_ml_2.0', 0.0), ('Alcoh_ml_3.0', 0.0), ('Alcoh_ml_4.0', 0.0), ('avg_temp', 0.0)]"
RF_1m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
DTB_1m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
XGB_3m_temp,0.5555555555555555,0.5,0.27777777777777773,0.35555555555555557,0.5,"[0, 0, 3, 4]","{1: [0.6666666666666666, 0.3333333333333333, 0.5, 0.4, 0.5], 2: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5]}","[('Exercise_3.0', 0.0), ('Exercise_4.0', 0.0), ('Exercise_5.0', 0.0), ('Alcoh_percent_2.0', 0.0), ('Alcoh_percent_3.0', 0.0), ('Alcoh_percent_4.0', 0.0), ('Alcoh_ml_2.0', 0.0), ('Alcoh_ml_3.0', 0.0), ('Alcoh_ml_4.0', 0.0), ('avg_temp', 0.0)]"
RF_3m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
DTB_3m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
XGB_6m_temp,0.5555555555555555,0.5,0.27777777777777773,0.35555555555555557,0.5,"[0, 0, 3, 4]","{1: [0.6666666666666666, 0.3333333333333333, 0.5, 0.4, 0.5], 2: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5]}","[('Exercise_3.0', 0.0), ('Exercise_4.0', 0.0), ('Exercise_5.0', 0.0), ('Alcoh_percent_2.0', 0.0), ('Alcoh_percent_3.0', 0.0), ('Alcoh_percent_4.0', 0.0), ('Alcoh_ml_2.0', 0.0), ('Alcoh_ml_3.0', 0.0), ('Alcoh_ml_4.0', 0.0), ('avg_temp', 0.0)]"
RF_6m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
DTB_6m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
XGB_9m_temp,0.5555555555555555,0.5,0.27777777777777773,0.35555555555555557,0.5,"[0, 0, 3, 4]","{1: [0.6666666666666666, 0.3333333333333333, 0.5, 0.4, 0.5], 2: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 0.5]}","[('Exercise_3.0', 0.0), ('Exercise_4.0', 0.0), ('Exercise_5.0', 0.0), ('Alcoh_percent_2.0', 0.0), ('Alcoh_percent_3.0', 0.0), ('Alcoh_percent_4.0', 0.0), ('Alcoh_ml_2.0', 0.0), ('Alcoh_ml_3.0', 0.0), ('Alcoh_ml_4.0', 0.0), ('avg_temp', 0.0)]"
RF_9m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
DTB_9m_temp,0.8333333333333334,0.8333333333333334,0.75,0.7777777777777778,1.0,"[2, 0, 1, 4]","{1: [1.0, 1.0, 1.0, 1.0, 1.0], 2: [1.0, 1.0, 1.0, 1.0, 1.0], 3: [0.5, 0.25, 0.5, 0.3333333333333333, 1.0]}",
